"naics","est.total","emp.total"
"23831/",3.3437999,425.239790854167
"238310",3.3437999,425.239790854167
"23834/",1.9107428,116.9732857875
"238340",1.9107428,116.9732857875
"3116//",1.4330571,308.266505066667
"31161/",1.4330571,308.266505066667
"311615",1.4330571,308.266505066667
"326///",2.3884285,513.777508444444
"3261//",2.3884285,513.777508444444
"32619/",1.9107428,411.022006755555
"326199",1.9107428,411.022006755555
"336///",1.4330571,308.266505066667
"4231//",1.9107428,411.022006755555
"42311/",1.4330571,308.266505066667
"423110",1.4330571,308.266505066667
"4412//",7.1652855,1541.33252533333
"44122/",3.8214856,822.044013511111
"441222",1.4330571,308.266505066667
"44132/",1.4330571,308.266505066667
"441320",1.4330571,308.266505066667
"44413/",1.9107428,116.9732857875
"444130",1.9107428,116.9732857875
"452///",11.9421425,1680.21300808472
"4523//",11.9421425,1680.21300808472
"45231/",11.9421425,1680.21300808472
"452319",10.5090854,1347.45184184583
"45393/",1.4330571,308.266505066667
"453930",1.4330571,308.266505066667
"453991",1.4330571,308.266505066667
"45431/",4.776857,453.900932854167
"454310",4.776857,453.900932854167
"48422/",1.4330571,308.266505066667
"484220",1.4330571,308.266505066667
"4854//",8.1206569,1043.6835437875
"48541/",8.1206569,1043.6835437875
"485410",8.1206569,1043.6835437875
"493///",3.8214856,540.355410030556
"4931//",3.8214856,540.355410030556
"49311/",1.4330571,308.266505066667
"493110",1.4330571,308.266505066667
"52213/",2.8661142,616.533010133333
"522130",2.8661142,616.533010133333
"522291",1.4330571,1.4330571
"53113/",1.4330571,1.4330571
"531130",1.4330571,1.4330571
"541213",2.3884285,232.513514475
"551112",2.8661142,2.8661142
"551114",2.8661142,616.533010133333
"56179/",5.2545427,235.379628675
"561790",5.2545427,235.379628675
"562///",5.2545427,529.428349643056
"5621//",3.8214856,425.717476554167
"56211/",3.8214856,425.717476554167
"562111",2.3884285,117.4509714875
"61161/",1.4330571,308.266505066667
"611610",1.4330571,308.266505066667
"621511",2.8661142,309.699562166667
"623///",25.3173421,2657.63472120079
"6231//",1.4330571,308.266505066667
"62311/",1.4330571,308.266505066667
"623110",1.4330571,308.266505066667
"6232//",19.5851137,1388.71194418333
"62321/",18.1520566,1601.99860923333
"623210",18.1520566,1601.99860923333
"62422/",1.4330571,308.266505066667
"81112/",3.8214856,579.1342005375
"811121",3.8214856,579.1342005375
"8122//",2.8661142,309.699562166667
"81221/",1.4330571,1.4330571
"812210",1.4330571,1.4330571
